id,isotime,latitude,longitude,depth,magnitude
20220224043611750,2022-02-24 04:36:11.025,50.702116,29.59598,0.0,1.0
20220224045454125,2022-02-24 04:54:54.125,50.136636,28.679365,0.0,1.0
20220224050627900,2022-02-24 05:06:29.400,50.003089,32.128882,0.0,1.0
20220224052410225,2022-02-24 05:24:10.200,50.368896,30.814328,0.0,1.0
20220224052640950,2022-02-24 05:26:41.000,51.199607,28.845959,0.0,1.0
20220224055157575,2022-02-24 05:51:56.975,50.395076,30.939869,0.0,1.0
20220224060524775,2022-02-24 06:05:25.450,50.003089,32.128882,0.0,1.0
20220224060633500,2022-02-24 06:06:32.950,50.002847,32.142825,0.0,1.0
20220224062703500,2022-02-24 06:27:03.500,50.132878,29.169052,0.0,1.0
20220224070821850,2022-02-24 07:08:21.900,50.001611,32.212535,0.0,1.0
20220224073645075,2022-02-24 07:36:45.200,51.29177,29.418304,0.0,1.0
20220224093248200,2022-02-24 09:32:48.200,51.366035,28.855618,0.0,1.0
20220224094603300,2022-02-24 09:46:03.225,51.125821,29.976623,0.0,1.0
20220224103032700,2022-02-24 10:30:32.900,51.308271,29.330555,0.0,1.0
20220224103143100,2022-02-24 10:31:42.575,50.409265,29.332124,0.0,1.0
20220224132915800,2022-02-24 13:29:15.800,51.077644,29.263268,0.0,1.0
20220224181303650,2022-02-24 18:13:03.725,50.586495,30.280803,0.0,1.0
20220224190845075,2022-02-24 19:08:45.225,50.989339,29.507098,0.0,1.0
20220224200519450,2022-02-24 20:05:19.650,50.586495,30.280803,0.0,1.0
20220224201128100,2022-02-24 20:11:28.175,50.559532,30.275083,0.0,1.0
20220224215901650,2022-02-24 21:59:00.900,51.182603,29.504417,0.0,1.0
20220225005418125,2022-02-25 00:54:18.350,50.694141,30.416977,0.0,1.0
20220225035750150,2022-02-25 03:57:50.075,51.290223,29.459904,0.0,1.0
20220225040621650,2022-02-25 04:06:20.600,50.016403,31.082863,0.0,1.0
20220225041537100,2022-02-25 04:15:37.025,50.17801,31.109848,0.0,1.0
20220225044101350,2022-02-25 04:41:01.700,50.478594,30.298818,0.0,1.0
20220225075142500,2022-02-25 07:51:42.850,50.701679,29.511048,0.0,1.0
20220225081950225,2022-02-25 08:19:50.225,50.916486,28.498288,0.0,1.0
20220225082408950,2022-02-25 08:24:09.050,50.916686,28.512505,0.0,1.0
20220225082720950,2022-02-25 08:27:20.975,50.907296,28.484392,0.0,1.0
20220225083327550,2022-02-25 08:33:27.375,50.916284,28.484071,0.0,1.0
20220225084511825,2022-02-25 08:45:11.925,51.232483,29.589632,0.0,1.0
20220225102415325,2022-02-25 10:24:15.450,50.925873,28.52641,0.0,1.0
20220225103028550,2022-02-25 10:30:28.550,50.593912,28.580276,0.0,1.0
20220225110805875,2022-02-25 11:08:05.975,51.309733,28.656372,0.0,1.0
20220225111607450,2022-02-25 11:16:07.450,51.008494,29.777572,0.0,1.0
20220225111705900,2022-02-25 11:17:06.250,51.365579,31.000995,0.0,1.0
20220225112321625,2022-02-25 11:23:21.575,51.090816,31.532735,0.0,1.0
20220225140734825,2022-02-25 14:07:34.975,50.449914,28.570996,0.0,1.0
20220225141725200,2022-02-25 14:17:25.200,50.740857,29.61394,0.0,1.0
20220225145905725,2022-02-25 14:59:05.750,50.990909,29.934394,0.0,1.0
20220225150722150,2022-02-25 15:07:22.175,50.972704,29.834811,0.0,1.0
20220225162735950,2022-02-25 16:27:35.950,50.945987,29.948832,0.0,1.0
20220225164331925,2022-02-25 16:43:32.250,50.964032,29.991461,0.0,1.0
20220225194845025,2022-02-25 19:48:45.300,52.023202,30.759822,0.0,1.0
20220225203419225,2022-02-25 20:34:19.225,50.819112,29.622975,0.0,1.0
20220226043137075,2022-02-26 04:31:36.875,51.28898,29.058499,0.0,1.0
20220226052714175,2022-02-26 05:27:14.225,50.874155,30.005974,0.0,1.0
20220226060507225,2022-02-26 06:05:07.425,50.09257,28.750615,0.0,1.0
20220226060623400,2022-02-26 06:06:23.425,50.10985,28.694178,0.0,1.0
20220226060700100,2022-02-26 06:07:00.225,50.119363,28.735839,0.0,1.0
20220226060839750,2022-02-26 06:08:39.700,50.122785,28.721752,0.0,1.0
20220226060910850,2022-02-26 06:09:10.950,50.110375,28.736107,0.0,1.0
20220226063106075,2022-02-26 06:31:06.025,50.928457,32.182424,0.0,1.0
20220226081724350,2022-02-26 08:17:24.300,50.980985,29.635383,0.0,1.0
20220226083240950,2022-02-26 08:32:40.950,50.640452,30.034967,0.0,1.0
20220226085521000,2022-02-26 08:55:21.000,51.008448,29.763323,0.0,1.0
20220226085917700,2022-02-26 08:59:17.575,51.0084,29.749074,0.0,1.0
20220226085941575,2022-02-26 08:59:41.325,51.792254,28.785567,0.0,1.0
20220226092518100,2022-02-26 09:25:18.325,50.657207,28.606447,0.0,1.0
20220226102441625,2022-02-26 10:24:40.100,51.502537,31.681955,0.0,1.0
20220226112449825,2022-02-26 11:24:49.850,50.676467,30.133915,0.0,1.0
20220226145058600,2022-02-26 14:50:58.600,51.477441,31.529951,0.0,1.0
20220226154714975,2022-02-26 15:47:14.825,51.605152,31.360553,0.0,1.0
20220226174905050,2022-02-26 17:49:05.125,50.774756,30.523772,0.0,1.0
20220226175907250,2022-02-26 17:59:06.925,50.756799,30.516542,0.0,1.0
20220226224058300,2022-02-26 22:40:58.200,50.088758,31.028391,0.0,1.0
20220227012523675,2022-02-27 01:25:23.650,50.543461,31.436194,0.0,1.0
20220227044629225,2022-02-27 04:46:28.825,50.577502,30.283602,0.0,1.0
20220227055236000,2022-02-27 05:52:36.625,51.793356,31.414822,0.0,1.0
20220227065230400,2022-02-27 06:52:30.275,50.541492,30.32159,0.0,1.0
20220227070936225,2022-02-27 07:09:36.250,50.586492,30.283627,0.0,1.0
20220227073502675,2022-02-27 07:35:02.550,50.577519,30.268072,0.0,1.0
20220227075559750,2022-02-27 07:55:59.775,50.541567,30.260928,0.0,1.0
20220227083954350,2022-02-27 08:39:54.350,50.715091,29.353685,0.0,1.0
20220227084711425,2022-02-27 08:47:11.650,50.730737,29.565895,0.0,1.0
20220227092251575,2022-02-27 09:22:51.550,50.718793,29.3692,0.0,1.0
20220227094930775,2022-02-27 09:49:30.575,50.809852,29.566324,0.0,1.0
20220227095007025,2022-02-27 09:50:07.000,50.810057,29.608889,0.0,1.0
20220227104645250,2022-02-27 10:46:45.200,52.013904,30.817955,0.0,1.0
20220227105951700,2022-02-27 10:59:51.950,50.792931,29.599158,0.0,1.0
20220227112506500,2022-02-27 11:25:06.250,50.828227,29.651261,0.0,1.0
20220227120155650,2022-02-27 12:01:55.550,50.819047,29.608785,0.0,1.0
20220227120532975,2022-02-27 12:05:32.950,50.731585,29.555969,0.0,1.0
20220227120946000,2022-02-27 12:09:45.700,50.732492,29.557374,0.0,1.0
20220227121829325,2022-02-27 12:18:29.650,50.774164,29.623482,0.0,1.0
20220227124801450,2022-02-27 12:48:01.400,50.730744,29.567311,0.0,1.0
20220227125340950,2022-02-27 12:53:41.025,50.810186,29.637265,0.0,1.0
20220227125436475,2022-02-27 12:54:36.350,50.819112,29.622975,0.0,1.0
20220227132642700,2022-02-27 13:26:42.500,51.026848,30.376123,0.0,1.0
20220227133820525,2022-02-27 13:38:20.350,50.819466,29.708122,0.0,1.0
20220227134950775,2022-02-27 13:49:50.275,50.827969,29.594487,0.0,1.0
20220227141433100,2022-02-27 14:14:33.075,50.728946,29.567334,0.0,1.0
20220227143159000,2022-02-27 14:31:58.875,50.520734,29.330184,0.0,1.0
20220227143314500,2022-02-27 14:33:16.200,50.520633,29.316084,0.0,1.0
20220227144106775,2022-02-27 14:41:06.750,50.520633,29.316084,0.0,1.0
20220227150904200,2022-02-27 15:09:04.100,50.261169,28.577303,0.0,1.0
20220227151807725,2022-02-27 15:18:07.800,50.290444,31.544388,0.0,1.0
20220227155420050,2022-02-27 15:54:20.050,50.511844,29.344438,0.0,1.0
20220227160602400,2022-02-27 16:06:02.100,50.511744,29.330341,0.0,1.0
20220227161709275,2022-02-27 16:17:09.050,50.520734,29.330184,0.0,1.0
20220227162102725,2022-02-27 16:21:02.750,50.520734,29.330184,0.0,1.0
20220227162735975,2022-02-27 16:27:36.025,50.511744,29.330341,0.0,1.0
20220227163114975,2022-02-27 16:31:14.750,50.511744,29.330341,0.0,1.0
20220227163524550,2022-02-27 16:35:24.775,50.538713,29.32987,0.0,1.0
20220227165459700,2022-02-27 16:54:59.625,50.520833,29.344284,0.0,1.0
20220227165548100,2022-02-27 16:55:47.850,50.529822,29.34413,0.0,1.0
20220227165956000,2022-02-27 16:59:56.025,50.709387,29.612884,0.0,1.0
20220227170132675,2022-02-27 17:01:32.925,50.756248,29.637856,0.0,1.0
20220227170356000,2022-02-27 17:03:55.875,50.711237,29.62419,0.0,1.0
20220227170702550,2022-02-27 17:07:02.575,50.368929,30.808706,0.0,1.0
20220227173322600,2022-02-27 17:33:22.750,51.035318,29.734585,0.0,1.0
20220227175454975,2022-02-27 17:54:54.975,50.595543,30.211623,0.0,1.0
20220227184019825,2022-02-27 18:40:19.325,50.792143,29.62328,0.0,1.0
20220227201517950,2022-02-27 20:15:17.800,50.837216,29.651165,0.0,1.0
20220227201749075,2022-02-27 20:17:49.025,50.837276,29.665362,0.0,1.0
20220227203851100,2022-02-27 20:38:51.075,51.291939,29.087105,0.0,1.0
20220227211247200,2022-02-27 21:12:47.200,50.640006,30.491596,0.0,1.0
20220227211806725,2022-02-27 21:18:06.700,50.791873,29.566549,0.0,1.0
20220227215113875,2022-02-27 21:51:13.675,50.613089,30.473032,0.0,1.0
20220227222654200,2022-02-27 22:26:53.925,50.649008,30.487419,0.0,1.0
20220227232003975,2022-02-27 23:20:04.275,51.567757,31.493717,0.0,1.0
20220227233744300,2022-02-27 23:37:44.500,51.387523,29.228577,0.0,1.0
20220228000353725,2022-02-28 00:03:53.725,51.386441,29.099295,0.0,1.0
20220228000920500,2022-02-28 00:09:20.750,51.228491,29.031289,0.0,1.0
